abacus	n．算盘
abandon	v./n.放弃；放纵
abase	v．贬抑，使卑下
abash	v.使害羞，使尴尬
abashed	a.尴尬的
abate	v.减轻，减少
abattoir	n.屠宰场，角斗场
abbreviate	v.缩短；缩写
abbreviation	n．缩短，缩写
abdicate	v.退位，辞职，放弃
abdomen	n．腹，下腹
abduct	v.绑架,拐走
aberrant	a.越轨的；异常的
aberration	n.离开正路，脱离常轨；变形
abet	v.教唆，鼓励，帮助
abeyance	n.中止，搁置
abhor	v.憎恨，嫌恶
abhorrent	a.可恨的，讨厌的
abide	v.容忍，忍受
abiding	v.忍耐；容忍：承受
ability	n.能力，才能
abject	a.极可怜的;卑下的
abjure	v.发誓放弃
ablaze	adj.着火的, 闪耀的
ablution	n.(宗教的)净礼，沐浴
abnegate	v.否认，放弃
abnegation	n．克己，自制
abnormal	adj．不正常的，变态的
abode	n．住处，住所
abolish	v.废止，废除(法律、制度、习俗等)
abolition	n.废除，革除
abolitionist	n.废奴主义者
abominable	adj．可厌的，天气极坏的
abominate	v.痛恨；厌恶
aboriginal	n．原始居民，土著
aborigines	n.土著人
abort	vi. 流产,堕胎,失败
abortion	n.流产，堕胎
abortive	adj．无结果的，失败的
abound	v．充满，富于
aboveboard	a./adv.光明正大的(地)
abracadabra	n.咒语，胡言乱语
abrade	v.磨损，磨小
abrasion	n.表面磨损
abrasive	a.磨损的；生硬粗暴的
abreast	adv.并列，并排
abridge	v.删减；缩短
abridgment	n．删节，节本
abrogate	v.废止，废除
abrogation	n.废除,废止
abrupt	a. 突然的,唐突的,无礼的,不连贯的
abruptly	ad.突然地;无礼地;
abscisic acid	n.缩写脱落酸
abscissa	横座标
abscission	n.[医]切除，截去；[植]脱离
abscond	v.潜逃，逃亡
absenteeism	n.旷课，旷工
absinth	n.苦艾酒
absolute	a.绝对的，完全的; 无(条件)限制的
absolute value	n.绝对值
absolution	n．赦免，免除
absolve	v.赦免，免除
absorb	v.吸收；同化；吸引…的注意
absorbing	a.非常有趣的
abstain	v.禁绝，放弃
abstemious	a.有节制的，节俭的(eating & drinking)
abstention	n.节制
abstentious	a.节制的
abstinence	n.节制,禁欲
abstinent	a.饮食有度的，有节制的，禁欲的
abstract	n.摘要；a.抽象的
abstracted	adj．心不在焉的
abstraction	n.抽象概念
abstruse	a.难懂的，深奥的
absurd	a.荒谬的，可笑的
absurdity	n．荒谬
abundance	n.充裕，多量
abundant	a.丰富的，盛产的
abuse	v./n.辱骂; 滥用
abusive	a.漫骂的；毁谤的；虐待的
abut	v.接界，毗连
abysmal	a.极深的；糟透的
abyss	n．深渊，深坑
academic	a.学院的，学术的；理论的
academician	n.院士；学会会员
acarpous	a.不结果的，无果实的
accede	v.同意
accelerate	v.加速；促进
acceleration	n.加快；增速
accelerator	n.加速器
accentuate	v.重读；强调
access	n.通路；途径
accessible	a.易达到的；易受影响的
accessory	a.附属的，次要的
accidental	a.偶然,
acclaim	v.欢呼，称赞
acclamation	n．欢呼
acclimate	v.使服水土; 使适应
acclimatory	a.服水工的,适应的
acclivity	n．向上的陡坡
accolade	n.推崇；赞扬
accommodate	v.与…一致；提供食宿
accommodating	a.乐于助人的
accommodation	n.［常用复数］招待设备,膳宿供应,居住舱室;适应,调节;贷款
accompany	v.伴随，陪伴
accomplice	n.同谋者，帮凶
accomplish	v.完成，做成功
accomplished	a.完成了的；有技巧的，有造诣的
accomplishment	n. 技能；成就
accord	v./n.同意；一致
accordance	n.一致，符合
accordingly	ad.因此,因而
accordion	n.手风琴
accost	v.搭话
account	for
account for	解释 为…提出理由
accountability	n.负有责任
accountant	n.会计，出纳
accounting	n.记述，报告
accoustic	n.原声 a.音响的
accoutre	v.供以服装
accoutrements	n．（军服，武器之外的）装备，配备
accredit	v.委派官员到国外, 授权
accrete	v.逐渐增长；添加生长；连生
accretion	n.自然的增加；增加物
accrue	v.(利息等)增大；增多
accumulate	v.积聚，积累(collect)
accuracy	n.精确，准确
accurate	a.精确的，准确的
accure	v.（使）利息逐渐增加
accusation	n.指控；控告
accuse	v.谴责，指责
accustom	v.使习惯
accustomed	a.习惯的；适应的
acerbic	a.苦涩的；刻薄的
acerbity	n．苦涩，刻薄
achieve	v.完成，达到(目的)
achromatic	a.消色差的，非彩色的
acid	a.酸的，酸性的 n.酸
acidity	n. 酸味,酸性
acidulous	adj．有酸味的，刻薄的
acknowledge	v.承认；致谢
acme	n.顶点，极点
acne	n.粉刺
acolyte	n.(教士的)助手，侍僧
acorn	n.橡子，橡果
acoustic	a.听觉的，有关声音的
acoustics	n．声学
acquaint	v.使…熟知；通知
acquaintance	n.熟知；熟人
acquainted	a.对某事物熟悉的；对某人认识的
acquiesce	v.勉强同意，默许
acquiescent	adj．默认的，顺从的
acquire	v.获得，取得；学到(知识等)；养成(习惯)
acquired	a.后天习得的
acquisition	n.获得
acquisitive	a.渴望得到的，贪婪的
acquit	v.宣告无罪；脱卸义务和责任；还清(债务)
acquittal	n.宣告无罪，开释
acrid	a.辛辣的，刻薄的
acridine	［化］氮蒽
acrimonious	a.尖刻的，严厉的
acrimony	n.尖刻，刻薄
